Date : 2024/09/17 16:56:08
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
L�gende : 
	Niveau de r�f�rence : 0
	Niveau courant : 3
	Param�tres Q4 : 
		Taille d'un �l�ment : 64
		Nombre maximum d'it�rations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Op�rateur : 
	Lieu : 
	Date : 
	Distance Cam�ras : 
	Angle cam�ras : 
	Distance du Capteur � l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1346.00	1419.00	2.57	-17.72	3.01	0.38	0.05	0.12	
1409.00	1419.00	5.18	-17.96	2.23	0.37	0.04	0.18	
1472.00	1419.00	7.82	-18.28	1.19	0.37	0.02	0.23	
1535.00	1419.00	10.54	-18.72	-0.31	0.37	-0.01	0.23	
1598.00	1419.00	13.35	-19.32	-2.39	0.33	-0.06	0.18	
1661.00	1419.00	16.18	-19.75	-3.78	0.20	-0.13	0.06	
968.00	1482.00	-12.95	-20.58	2.52	0.59	-0.06	0.14	
1031.00	1482.00	-10.38	-20.68	2.16	0.57	-0.06	0.10	
1094.00	1482.00	-7.73	-20.35	3.12	0.53	-0.05	0.04	
1157.00	1482.00	-5.14	-20.26	3.49	0.48	-0.03	0.05	
1220.00	1482.00	-2.57	-20.21	3.58	0.46	0.01	0.12	
1283.00	1482.00	-0.00	-20.12	3.92	0.43	0.05	0.17	
1346.00	1482.00	2.57	-20.22	3.59	0.43	0.07	0.26	
1409.00	1482.00	5.17	-20.46	2.90	0.43	0.07	0.33	
1472.00	1482.00	7.82	-20.77	1.81	0.43	0.06	0.38	
1535.00	1482.00	10.56	-21.37	-0.09	0.43	0.01	0.37	
1598.00	1482.00	13.36	-21.96	-1.91	0.41	0.01	0.38	
1661.00	1482.00	16.25	-22.58	-3.88	0.19	-0.13	0.12	
1724.00	1482.00	19.10	-22.96	-5.05	0.07	-0.18	-0.01	
968.00	1545.00	-12.96	-23.13	2.99	0.65	-0.05	0.19	
1031.00	1545.00	-10.40	-23.28	2.45	0.65	-0.04	0.17	
1094.00	1545.00	-7.76	-23.07	3.13	0.60	-0.05	0.12	
1157.00	1545.00	-5.17	-23.10	3.03	0.56	-0.04	0.19	
1220.00	1545.00	-2.58	-23.07	3.10	0.53	-0.01	0.29	
1283.00	1545.00	0.00	-23.04	3.20	0.51	0.02	0.38	
1346.00	1545.00	2.59	-22.98	3.47	0.49	0.06	0.43	
1409.00	1545.00	5.18	-23.01	3.29	0.48	0.08	0.44	
1472.00	1545.00	7.84	-23.50	1.86	0.50	0.06	0.51	
1535.00	1545.00	10.58	-24.05	0.15	0.51	0.04	0.56	
1598.00	1545.00	13.43	-24.82	-2.16	0.40	-0.04	0.43	
1661.00	1545.00	16.36	-25.57	-4.33	0.23	-0.08	0.31	
1724.00	1545.00	19.23	-25.94	-5.52	0.11	-0.12	0.16	
968.00	1608.00	-12.95	-25.62	3.62	0.72	-0.02	0.30	
1031.00	1608.00	-10.39	-25.82	3.03	0.70	-0.03	0.23	
1094.00	1608.00	-7.77	-25.62	3.57	0.65	-0.05	0.23	
1157.00	1608.00	-5.19	-25.76	3.17	0.63	-0.04	0.35	
