Date : 2024/09/17 16:56:06
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 1
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1661.00	1167.00	16.00	-8.84	-4.25	0.73	-0.10	-0.20	
1094.00	1230.00	-7.75	-10.37	0.70	0.65	0.17	-0.03	
1157.00	1230.00	-5.17	-10.40	0.45	0.70	0.13	-0.07	
1220.00	1230.00	-2.58	-10.39	0.51	0.73	0.08	-0.15	
1283.00	1230.00	0.00	-10.26	1.05	0.72	0.05	-0.20	
1346.00	1230.00	2.57	-10.11	1.69	0.72	0.02	-0.21	
1409.00	1230.00	5.14	-10.11	1.73	0.71	-0.00	-0.24	
1472.00	1230.00	7.71	-10.15	1.56	0.70	-0.03	-0.23	
1535.00	1230.00	10.40	-10.53	0.04	0.71	-0.05	-0.21	
1598.00	1230.00	13.21	-11.11	-2.37	0.72	-0.07	-0.20	
1661.00	1230.00	16.06	-11.59	-4.32	0.72	-0.10	-0.19	
1031.00	1293.00	-10.35	-12.98	1.02	0.61	0.16	-0.11	
1094.00	1293.00	-7.76	-12.95	1.08	0.67	0.16	-0.05	
1157.00	1293.00	-5.16	-12.88	1.21	0.72	0.12	-0.07	
1220.00	1293.00	-2.58	-12.85	1.23	0.72	0.08	-0.17	
1283.00	1293.00	0.00	-12.79	1.53	0.71	0.05	-0.21	
1346.00	1293.00	2.58	-12.71	1.88	0.71	0.03	-0.23	
1409.00	1293.00	5.15	-12.74	1.78	0.69	-0.00	-0.26	
1472.00	1293.00	7.76	-12.91	1.16	0.69	-0.02	-0.24	
1535.00	1293.00	10.44	-13.23	-0.11	0.70	-0.04	-0.21	
1598.00	1293.00	13.27	-13.89	-2.56	0.71	-0.07	-0.19	
1661.00	1293.00	16.07	-14.24	-3.85	0.70	-0.10	-0.19	
1031.00	1356.00	-10.36	-15.56	1.33	0.64	0.16	-0.06	
1094.00	1356.00	-7.74	-15.37	1.94	0.71	0.14	-0.05	
1157.00	1356.00	-5.15	-15.23	2.35	0.73	0.11	-0.10	
1220.00	1356.00	-2.57	-15.17	2.41	0.73	0.08	-0.17	
1283.00	1356.00	0.00	-15.24	2.28	0.71	0.05	-0.22	
1346.00	1356.00	2.57	-15.22	2.41	0.70	0.03	-0.24	
1409.00	1356.00	5.16	-15.34	2.01	0.68	0.00	-0.27	
1472.00	1356.00	7.79	-15.59	1.13	0.68	-0.02	-0.24	
1535.00	1356.00	10.50	-16.00	-0.36	0.69	-0.04	-0.21	
1598.00	1356.00	13.33	-16.65	-2.66	0.70	-0.07	-0.18	
1661.00	1356.00	16.15	-17.08	-4.12	0.67	-0.12	-0.22	
1031.00	1419.00	-10.37	-18.08	1.82	0.71	0.17	0.02	
1094.00	1419.00	-7.72	-17.74	2.84	0.73	0.13	-0.06	
1157.00	1419.00	-5.13	-17.57	3.43	0.74	0.10	-0.13	
1220.00	1419.00	-2.57	-17.63	3.28	0.73	0.08	-0.17	
1283.00	1419.00	0.00	-17.61	3.32	0.71	0.05	-0.22	
1346.00	1419.00	2.57	-17.72	3.01	0.70	0.03	-0.25	
1409.00	1419.00	5.18	-17.96	2.23	0.67	0.01	-0.25	
1472.00	1419.00	7.82	-18.28	1.19	0.67	-0.02	-0.22	
1535.00	1419.00	10.54	-18.72	-0.31	0.69	-0.04	-0.17	
1598.00	1419.00	13.35	-19.32	-2.39	0.70	-0.07	-0.16	
1661.00	1419.00	16.18	-19.75	-3.78	0.65	-0.11	-0.21	
968.00	1482.00	-12.95	-20.58	2.52	0.67	0.17	-0.02	
1031.00	1482.00	-10.38	-20.68	2.16	0.71	0.16	-0.03	
1094.00	1482.00	-7.73	-20.35	3.12	0.73	0.13	-0.08	
1157.00	1482.00	-5.14	-20.26	3.49	0.72	0.10	-0.15	
1220.00	1482.00	-2.57	-20.21	3.58	0.72	0.08	-0.17	
1283.00	1482.00	-0.00	-20.12	3.92	0.70	0.06	-0.21	
1346.00	1482.00	2.57	-20.22	3.59	0.68	0.04	-0.23	
1409.00	1482.00	5.17	-20.46	2.90	0.66	0.01	-0.23	
1472.00	1482.00	7.82	-20.77	1.81	0.66	-0.01	-0.19	
1535.00	1482.00	10.56	-21.37	-0.09	0.68	-0.04	-0.15	
1598.00	1482.00	13.36	-21.96	-1.91	0.70	-0.05	-0.10	
1661.00	1482.00	16.25	-22.58	-3.88	0.62	-0.13	-0.21	
1724.00	1482.00	19.10	-22.96	-5.05	0.55	-0.17	-0.31	
968.00	1545.00	-12.96	-23.13	2.99	0.67	0.18	-0.00	
1031.00	1545.00	-10.40	-23.28	2.45	0.72	0.17	-0.02	
1094.00	1545.00	-7.76	-23.07	3.13	0.71	0.13	-0.10	
1157.00	1545.00	-5.17	-23.10	3.03	0.69	0.10	-0.16	
1220.00	1545.00	-2.58	-23.07	3.10	0.69	0.08	-0.17	
1283.00	1545.00	0.00	-23.04	3.20	0.68	0.05	-0.22	
1346.00	1545.00	2.59	-22.98	3.47	0.66	0.03	-0.23	
1409.00	1545.00	5.18	-23.01	3.29	0.65	0.01	-0.23	
1472.00	1545.00	7.84	-23.50	1.86	0.66	-0.01	-0.16	
1535.00	1545.00	10.58	-24.05	0.15	0.68	-0.03	-0.10	
1598.00	1545.00	13.43	-24.82	-2.16	0.67	-0.07	-0.11	
1661.00	1545.00	16.36	-25.57	-4.33	0.62	-0.11	-0.16	
1724.00	1545.00	19.23	-25.94	-5.52	0.57	-0.15	-0.22	
968.00	1608.00	-12.95	-25.62	3.62	0.68	0.21	0.06	
1031.00	1608.00	-10.39	-25.82	3.03	0.72	0.18	0.01	
1094.00	1608.00	-7.77	-25.62	3.57	0.71	0.14	-0.07	
1157.00	1608.00	-5.19	-25.76	3.17	0.70	0.11	-0.11	
